spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
1.0,slitA001_SDSSJ112727.80+423334.3t100793.fits,SDSSJ112727.80+423334.3,A,13833,171.865839,42.559544,20.54,,0.3038,0.3038,0.3042
2.0,slitA002_SDSSJ112729.95+423256.8t100794.fits,SDSSJ112729.95+423256.8,A,13845,171.874831,42.549125,22.32,,?,?,
3.0,slitA003_SDSSJ112730.01+423245.6t100795.fits,SDSSJ112730.01+423245.6,A,13742,171.875056,42.546002,21.86,,0.5396,0.539,
4.0,slitA004_SDSSJ112726.53+423312.6t100796.fits,SDSSJ112726.53+423312.6,A,13946,171.860559,42.55351,21.67,,0.5215,0.521,
5.0,slitA005_SDSSJ112730.27+423214.9t100797.fits,SDSSJ112730.27+423214.9,A,13951,171.876135,42.537488,21.86,,0.541,0.54,
6.0,slitA006_SDSSJ112725.13+423306.7t100798.fits,SDSSJ112725.13+423306.7,A,13818,171.854709,42.551888,22.49,,0.6328,0.632,
7.0,slitA007_SDSSJ112729.87+423156.0t100799.fits,SDSSJ112729.87+423156.0,A,13752,171.874477,42.53224,23.26,re-try,0.488?,?,0.346?
8.0,slitA008_SDSSJ112722.99+423310.7t100800.fits,SDSSJ112722.99+423310.7,A,13774,171.845802,42.552978,22.86,re-try,0.473?,?,
9.0,slitA009_SDSSJ112731.60+423114.2t100801.fits,SDSSJ112731.60+423114.2,A,13853,171.881676,42.520636,21.24,,?,?,
10.0,slitA010_SDSSJ112741.23+422856.4t100802.fits,SDSSJ112741.23+422856.4,A,14025,171.921823,42.48236,22.49,,0.355?,?,
11.0,slitA011_SDSSJ112739.32+422909.9t100803.fits,SDSSJ112739.32+422909.9,A,13888,171.913857,42.486109,23.29,,?,?,
15.0,slitA015_SDSSJ112714.58+423328.6t100807.fits,SDSSJ112739.32+422909.9,A,13888,171.913857,42.486109,23.29,,0.367,0.367,0.368
12.0,slitA012_SDSSJ112733.25+423014.1t100804.fits,SDSSJ112733.25+423014.1,A,13992,171.888556,42.503943,22.91,,?,?,
14.0,slitA014_SDSSJ112717.17+423307.5t100806.fits,SDSSJ112733.25+423014.1,A,13992,171.888556,42.503943,22.91,,0.61,0.611,
16.0,slitA016_SDSSJ112738.49+422819.6t100808.fits,SDSSJ112733.25+423014.1,A,13992,171.888556,42.503943,22.91,re-try,0.4?,?,
13.0,slitA013_SDSSJ112739.18+422849.0t100805.fits,SDSSJ112739.18+422849.0,A,13881,171.913286,42.480294,22.72,,0.354?,?,
17.0,slitA017_109057t100809.fits,SDSSJ112739.18+422849.0,A,13881,171.913286,42.480294,22.72,,?,?,
18.0,slitA018_SDSSJ112715.04+423243.0t100810.fits,SDSSJ112717.17+423307.5,A,13653,171.82157,42.5521,22.19,,0.386,0.3852,0.3857
19.0,slitA019_SDSSJ112720.85+423120.7t100811.fits,SDSSJ112714.58+423328.6,A,13623,171.810762,42.557947,20.22,,?,?,
20.0,slitA020_SDSSJ112715.03+423220.4t100812.fits,SDSSJ112738.49+422819.6,A,14020,171.910375,42.472138,21.8,,0.5397,0.5395,
21.0,slitA021_113019t100813.fits,109057,A,138,171.833798,42.531462,19.15,,?,?,
22.0,slitA022_SDSSJ112720.50+423048.5t100814.fits,SDSSJ112715.04+423243.0,A,13707,171.81269,42.545279,22.32,,0.5077,0.508,0.5078
23.0,slitA023_SDSSJ112720.22+423041.1t100815.fits,SDSSJ112720.22+423041.1,A,13655,171.834265,42.511423,22.24,,0.2925,0.293,
24.0,slitA024_117738t100816.fits,117738,A,126,171.872757,42.476774,20.64,,0.3163,0.316,
25.0,slitA025_SDSSJ112733.38+422736.5t100817.fits,SDSSJ112733.38+422736.5,A,13842,171.889098,42.460154,22.04,,0.5444,0.5435,
26.0,slitA026_SDSSJ112721.88+422947.5t100818.fits,SDSSJ112721.88+422947.5,A,13663,171.84119,42.496532,22.1,,0.3473,0.3475,
27.0,slitA027_111497t100819.fits,111497,A,122,171.812306,42.516637,18.1,,?,?,
28.0,slitA028_151.0t100820.fits,151.0,A,119,171.832542,42.495339,20.7,,0.3493,0.3485,
29.0,slitA029_155.0t100821.fits,155.0,A,121,171.825954,42.497805,21.59,,0.5437,0.543,
30.0,slitA030_SDSSJ112717.77+422942.9t100822.fits,SDSSJ112717.77+422942.9,A,13624,171.824065,42.495253,22.8,,0.3725,0.3715,
31.0,slitA031_140.0t100823.fits,140.0,A,110,171.832362,42.485384,22.03,,,,
32.0,slitA032_149.0t100824.fits,149.0,A,117,171.819172,42.493214,20.82,,0.6226,0.6225,
33.0,slitA033_47.0t100825.fits,47.0,A,60,171.851315,42.463106,22.21,,,,
34.0,slitA034_r10t100826.fits,r10,A,24,171.825223,42.48053,21.21,,0.5523,0.352,
35.0,slitA035_133.0t100827.fits,133.0,A,104,171.818102,42.482599,20.72,,0.6196,0.619,
36.0,slitA036_r3t100828.fits,r3,A,16,171.818493,42.479138,20.02,,0.3848,0.388,0.339
37.0,slitA037_a111t100829.fits,a111,A,1,171.815782,42.478105,20.46,,?,?,
38.0,slitA038_tslrt100830.fits,tslr,A,2,171.815074,42.475128,23.21,,?,?,
39.0,slitA039_tsrrt100831.fits,tsrr,A,4,171.808669,42.47512,24.57,,0.3488,0.348,
40.0,slitA040_r9t100832.fits,r9,A,23,171.810456,42.468612,22.33,,?,?,
41.0,slitA041_r12t100833.fits,r12,A,26,171.80018,42.472843,19.19,,?,?,
42.0,slitA042_r13t100834.fits,r13,A,27,171.80315,42.467589,19.59,,0.3433,0.343,
43.0,slitA043_87.0t100835.fits,87.0,A,81,171.794292,42.471893,19.41,,0.3483,0.348,
44.0,slitA044_30.0t100836.fits,30.0,A,44,171.805645,42.459566,21.92,re-try,0.3442?,0.344,0.344?
45.0,slitA045_33.0t100837.fits,33.0,A,47,171.799671,42.460909,21.06,,0.3521,0.352,
