Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
1.0,slitA001_SDSSJ112727.80+423334.3t100793.fits,,0.3038,0.3038,0.3042,171.865839,42.559544,1457,20.537860870361328,13833,SDSSJ112727.80+423334.3,A
2.0,slitA002_SDSSJ112729.95+423256.8t100794.fits,,?,?,,171.874831,42.549125,1466,22.31954002380371,13845,SDSSJ112729.95+423256.8,A
3.0,slitA003_SDSSJ112730.01+423245.6t100795.fits,,0.5396,0.539,,171.875056,42.546002,1379,21.864490509033203,13742,SDSSJ112730.01+423245.6,A
4.0,slitA004_SDSSJ112726.53+423312.6t100796.fits,,0.5215,0.521,,171.860559,42.55351,1524,21.67403030395508,13946,SDSSJ112726.53+423312.6,A
5.0,slitA005_SDSSJ112730.27+423214.9t100797.fits,,0.541,0.54,,171.876135,42.537488,1529,21.86185073852539,13951,SDSSJ112730.27+423214.9,A
6.0,slitA006_SDSSJ112725.13+423306.7t100798.fits,,0.6328,0.632,,171.854709,42.551888,1442,22.491840362548828,13818,SDSSJ112725.13+423306.7,A
7.0,slitA007_SDSSJ112729.87+423156.0t100799.fits,re-try,0.488?,?,0.346?,171.874477,42.53224,1389,23.261669158935547,13752,SDSSJ112729.87+423156.0,A
8.0,slitA008_SDSSJ112722.99+423310.7t100800.fits,re-try,0.473?,?,,171.845802,42.552978,1407,22.86240005493164,13774,SDSSJ112722.99+423310.7,A
9.0,slitA009_SDSSJ112731.60+423114.2t100801.fits,,?,?,,171.881676,42.520636,1472,21.2393798828125,13853,SDSSJ112731.60+423114.2,A
10.0,slitA010_SDSSJ112741.23+422856.4t100802.fits,,0.355?,?,,171.921823,42.48236,1578,22.494020462036133,14025,SDSSJ112741.23+422856.4,A
11.0,slitA011_SDSSJ112739.32+422909.9t100803.fits,,?,?,,171.913857,42.486109,1499,23.28537940979004,13888,SDSSJ112739.32+422909.9,A
15.0,slitA015_SDSSJ112714.58+423328.6t100807.fits,,0.367,0.367,0.368,171.913857,42.486109,1499,23.28537940979004,13888,SDSSJ112739.32+422909.9,A
12.0,slitA012_SDSSJ112733.25+423014.1t100804.fits,,?,?,,171.888556,42.503943,1557,22.90777015686035,13992,SDSSJ112733.25+423014.1,A
14.0,slitA014_SDSSJ112717.17+423307.5t100806.fits,,0.61,0.611,,171.888556,42.503943,1557,22.90777015686035,13992,SDSSJ112733.25+423014.1,A
16.0,slitA016_SDSSJ112738.49+422819.6t100808.fits,re-try,0.4?,?,,171.888556,42.503943,1557,22.90777015686035,13992,SDSSJ112733.25+423014.1,A
13.0,slitA013_SDSSJ112739.18+422849.0t100805.fits,,0.354?,?,,171.913286,42.480294,1493,22.723289489746097,13881,SDSSJ112739.18+422849.0,A
17.0,slitA017_109057t100809.fits,,?,?,,171.913286,42.480294,1493,22.723289489746097,13881,SDSSJ112739.18+422849.0,A
18.0,slitA018_SDSSJ112715.04+423243.0t100810.fits,,0.386,0.3852,0.3857,171.82157,42.5521,1324,22.193260192871097,13653,SDSSJ112717.17+423307.5,A
19.0,slitA019_SDSSJ112720.85+423120.7t100811.fits,,?,?,,171.810762,42.557947,1297,20.217369079589844,13623,SDSSJ112714.58+423328.6,A
20.0,slitA020_SDSSJ112715.03+423220.4t100812.fits,,0.5397,0.5395,,171.910375,42.472138,1575,21.80207061767578,14020,SDSSJ112738.49+422819.6,A
21.0,slitA021_113019t100813.fits,,?,?,,171.833798,42.531462,138,19.150999069213867,138,109057,A
22.0,slitA022_SDSSJ112720.50+423048.5t100814.fits,,0.5077,0.508,0.5078,171.81269,42.545279,1360,22.316370010375977,13707,SDSSJ112715.04+423243.0,A
23.0,slitA023_SDSSJ112720.22+423041.1t100815.fits,,0.2925,0.293,,171.834265,42.511423,1326,22.24159049987793,13655,SDSSJ112720.22+423041.1,A
24.0,slitA024_117738t100816.fits,,0.3163,0.316,,171.872757,42.476774,126,20.641000747680664,126,117738,A
25.0,slitA025_SDSSJ112733.38+422736.5t100817.fits,,0.5444,0.5435,,171.889098,42.460154,1463,22.03805923461914,13842,SDSSJ112733.38+422736.5,A
26.0,slitA026_SDSSJ112721.88+422947.5t100818.fits,,0.3473,0.3475,,171.84119,42.496532,1334,22.096500396728516,13663,SDSSJ112721.88+422947.5,A
27.0,slitA027_111497t100819.fits,,?,?,,171.812306,42.516637,122,18.097999572753903,122,111497,A
28.0,slitA028_151.0t100820.fits,,0.3493,0.3485,,171.832542,42.495339,119,20.69926643371582,119,151.0,A
29.0,slitA029_155.0t100821.fits,,0.5437,0.543,,171.825954,42.497805,121,21.590784072875977,121,155.0,A
30.0,slitA030_SDSSJ112717.77+422942.9t100822.fits,,0.3725,0.3715,,171.824065,42.495253,1298,22.8028507232666,13624,SDSSJ112717.77+422942.9,A
31.0,slitA031_140.0t100823.fits,,,,,171.832362,42.485384,110,22.03372573852539,110,140.0,A
32.0,slitA032_149.0t100824.fits,,0.6226,0.6225,,171.819172,42.493214,117,20.817142486572266,117,149.0,A
33.0,slitA033_47.0t100825.fits,,,,,171.851315,42.463106,60,22.210756301879883,60,47.0,A
34.0,slitA034_r10t100826.fits,,0.5523,0.352,,171.825223,42.48053,24,21.205127716064453,24,r10,A
35.0,slitA035_133.0t100827.fits,,0.6196,0.619,,171.818102,42.482599,104,20.72420310974121,104,133.0,A
36.0,slitA036_r3t100828.fits,,0.3848,0.388,0.339,171.818493,42.479138,16,20.02153778076172,16,r3,A
37.0,slitA037_a111t100829.fits,,?,?,,171.815782,42.478105,1,20.464038848876953,1,a111,A
