slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
1457,13833,SDSSJ112727.80+423334.3,171.8658386,42.55954366,0,0,20.537860870361328,6,2000,TARGET,4544.95017638123,9935.892316733994,A
1466,13845,SDSSJ112729.95+423256.8,171.87483087,42.54912499,0,0,22.31954002380371,6,2000,TARGET,4326.230130100708,9717.06689024807,A
1379,13742,SDSSJ112730.01+423245.6,171.87505573,42.54600219,0,0,21.864490509033203,6,2000,TARGET,4282.092762557008,9672.908465796225,A
1524,13946,SDSSJ112726.53+423312.6,171.86055864,42.55350998,0,0,21.674030303955078,6,2000,TARGET,4509.244137640704,9900.16996019325,A
1529,13951,SDSSJ112730.27+423214.9,171.87613468,42.53748819,0,0,21.86185073852539,6,2000,TARGET,4157.749803116724,9548.506106490771,A
1442,13818,SDSSJ112725.13+423306.7,171.85470934,42.55188844,0,0,22.491840362548828,6,2000,TARGET,4538.120229640545,9929.060551126377,A
1389,13752,SDSSJ112729.87+423156.0,171.87447652,42.53224042,0,0,23.261669158935547,6,2000,TARGET,4101.324303710758,9492.053903920376,A
1407,13774,SDSSJ112722.99+423310.7,171.84580206,42.55297785,0,0,22.86240005493164,6,2000,TARGET,4630.145816799937,10021.131106052968,A
1472,13853,SDSSJ112731.60+423114.2,171.88167648,42.5206363,0,0,21.2393798828125,6,2000,TARGET,3882.123882081804,9272.74805159067,A
1578,14025,SDSSJ112741.23+422856.4,171.92182285,42.48235981,0,0,22.494020462036133,6,2000,TARGET,3015.3615259605003,8405.567392286872,A
1499,13888,SDSSJ112739.32+422909.9,171.91385743,42.4861086,0,0,23.28537940979004,6,2000,TARGET,3135.5531914736853,8525.817333593843,A
1557,13992,SDSSJ112733.25+423014.1,171.88855583,42.50394266,0,0,22.90777015686035,6,2000,TARGET,3596.998337710398,8987.48561598653,A
1493,13881,SDSSJ112739.18+422849.0,171.91328616,42.48029379,0,0,22.723289489746094,6,2000,TARGET,3062.0137356907103,8452.242816666701,A
1324,13653,SDSSJ112717.17+423307.5,171.8215695,42.55209976,0,0,22.193260192871094,6,2000,TARGET,4828.933178253185,10220.016066576085,A
1297,13623,SDSSJ112714.58+423328.6,171.81076225,42.55794679,0,0,20.217369079589844,6,2000,TARGET,5001.594432230382,10392.76093836605,A
1575,14020,SDSSJ112738.49+422819.6,171.91037516,42.47213835,0,0,21.80207061767578,6,2000,TARGET,2977.3756279534855,8367.564557087955,A
138,138,109057,171.833798,42.531462,0,0,19.150999069213867,4,2000,TARGET,4444.879617353699,9835.777699291026,A
1360,13707,SDSSJ112715.04+423243.0,171.81269026,42.54527873,0,0,22.316370010375977,6,2000,TARGET,4814.51720643638,10205.594074807796,A
1374,13737,SDSSJ112720.85+423120.7,171.83690239,42.52243022,0,0,22.87921905517578,6,2000,TARGET,4296.382499856288,9687.209258884172,A
1295,13621,SDSSJ112715.03+423220.4,171.81263881,42.53902178,0,0,22.029949188232422,6,2000,TARGET,4730.911512974499,10121.94838336941,A
130,130,113019,171.848235,42.506764,0,0,20.85300064086914,4,2000,TARGET,3986.8635122599935,9377.541134886915,A
1235,13515,SDSSJ112720.50+423048.5,171.83543307,42.51349739,0,0,22.062490463256836,6,2000,TARGET,4189.170566689749,9579.946136732899,A
1326,13655,SDSSJ112720.22+423041.1,171.83426463,42.51142277,0,0,22.24159049987793,6,2000,TARGET,4171.51236227809,9562.279572339978,A
126,126,117738,171.872757,42.476774,0,0,20.641000747680664,4,2000,TARGET,3369.1135114703557,8759.493269584389,A
1463,13842,SDSSJ112733.38+422736.5,171.88909817,42.46015419,0,0,22.03805923461914,6,2000,TARGET,3002.2363257003094,8392.43902388686,A
1334,13663,SDSSJ112721.88+422947.5,171.84118955,42.49653182,0,0,22.096500396728516,6,2000,TARGET,3910.996132666467,9301.637982927592,A
122,122,111497,171.812306,42.516637,0,0,18.097999572753906,4,2000,TARGET,4433.420803008199,9824.31520149176,A
119,119,151.0,171.8325418,42.4953386,0,0,20.69926643371582,3,2000,TARGET,3970.6839614587734,9361.3550491188,A
121,121,155.0,171.8259544,42.4978053,0,0,21.590784072875977,3,2000,TARGET,4061.4588857486006,9452.173959181227,A
1298,13624,SDSSJ112717.77+422942.9,171.82406483,42.49525299,0,0,22.8028507232666,6,2000,TARGET,4043.7890702195127,9434.49578897584,A
110,110,140.0,171.8323616,42.4853839,0,0,22.03372573852539,3,2000,TARGET,3838.745152258039,9229.352949661832,A
117,117,149.0,171.8191716,42.4932145,0,0,20.817142486572266,3,2000,TARGET,4059.3535199814446,9450.06800938955,A
60,60,47.0,171.851315,42.4631058,0,0,22.210756301879883,3,2000,TARGET,3373.5742530764114,8763.957607578492,A
24,24,r10,171.8252231,42.48053,0,0,21.205127716064453,2,2000,TARGET,3836.3153587971415,9226.922399542902,A
104,104,133.0,171.8181025,42.4825993,0,0,20.72420310974121,3,2000,TARGET,3926.5427284359193,9317.193488753326,A
16,16,r3,171.8184934,42.4791384,0,0,20.02153778076172,2,2000,TARGET,3876.768865994699,9267.395687504199,A
1,1,a111,171.8157822,42.4781051,0,0,20.464038848876953,1,2000,TARGET,3886.7529982408773,9277.38474707488,A
2,2,tslr,171.8150744,42.4751284,0,0,23.214948654174805,1,2000,TARGET,3853.133131664196,9243.748747546855,A
4,4,tsrr,171.8086692,42.4751195,0,0,24.567934036254883,1,2000,TARGET,3909.326054928631,9299.968963953928,A
23,23,r9,171.8104559,42.4686122,0,0,22.333683013916016,2,2000,TARGET,3806.578507925618,9197.171911435711,A
26,26,r12,171.8001795,42.4728434,0,0,19.19183921813965,2,2000,TARGET,3953.5794682499586,9344.243981163221,A
27,27,r13,171.8031496,42.4675891,0,0,19.588022232055664,2,2000,TARGET,3857.213953439067,9247.831975626028,A
81,81,87.0,171.7942917,42.4718929,0,0,19.407917022705078,3,2000,TARGET,3992.710046114699,9383.39358180437,A
44,44,30.0,171.8056454,42.4595659,0,0,21.923477172851562,3,2000,TARGET,3728.010431081197,9118.5661543085,A
47,47,33.0,171.7996707,42.4609087,0,0,21.06100082397461,3,2000,TARGET,3798.608845566483,9189.198733031091,A
65,65,54.0,171.7911959,42.4649276,0,0,23.086708068847656,3,2000,TARGET,3926.9752670331477,9317.627209343518,A
77,77,81.0,171.7807765,42.4704642,0,0,20.750194549560547,3,2000,TARGET,4092.704549704087,9483.436592396973,A
29,29,1.0,171.8071499,42.4458322,0,0,19.80826759338379,3,2000,TARGET,3531.2607531626236,8921.721616472174,A
43,43,29.0,171.7853463,42.4594511,0,0,22.321908950805664,3,2000,TARGET,3905.4849823356303,9296.126666902812,A
8,8,r203,171.765962593,42.471182945,0,0,20.266929626464844,1,2000,TARGET,4232.922715730673,9623.722610487583,A
7,7,r202,171.762618946,42.469891916,0,0,20.26719093322754,1,2000,TARGET,4245.227377123878,9636.033241633026,A
11,11,r206,171.758980303,42.468458887,0,0,20.054931640625,1,2000,TARGET,4258.263021571812,9649.075202110098,A
99,99,123.0,171.7418532,42.4792729,0,0,22.686527252197266,3,2000,TARGET,4553.403553105588,9944.358314587129,A
36,36,20.0,171.7662129,42.4563257,0,0,21.678531646728516,3,2000,TARGET,4032.805508592303,9423.50878773774,A
94,94,109.0,171.7368408,42.4772227,0,0,20.914196014404297,3,2000,TARGET,4570.398445657336,9961.361417125425,A
42,42,28.0,171.7536842,42.4596669,0,0,21.895809173583984,3,2000,TARGET,4188.038309000199,9578.816565005274,A
