spectrumid,coordinates
slitA093_SDSSJ112737.69+423002.7t100713.fits,"171.90707928, 42.50075291"
slitA009_SDSSJ112633.76+422630.3t100629.fits,"171.64069199, 42.4417652"
slitB072_SDSSJ112748.13+422406.6t100787.fits,"171.95057858, 42.40185652"
slitA046_SDSSJ112703.19+422941.1t100666.fits,"171.7633285, 42.49476113"
slitA081_SDSSJ112720.65+423317.6t100701.fits,"171.83604751, 42.55490154"
slitB003_SDSSJ112654.63+421321.9t100718.fits,"171.7276313, 42.22276761"
slitA038_62.0t100658.fits,"171.7476386, 42.4695897"
slitB037_SDSSJ112713.46+422002.7t100752.fits,"171.80608617, 42.33408981"
slitA016_SDSSJ112638.06+422735.1t100636.fits,"171.6586027, 42.45975806"
slitA083_SDSSJ112724.67+423209.4t100703.fits,"171.85281795, 42.53595933"
slitB068_SDSSJ112746.52+422153.6t100783.fits,"171.94384033, 42.36491009"
slitA048_120.0t100668.fits,"171.7774025, 42.4796378"
slitB045_SDSSJ112726.84+421735.4t100760.fits,"171.86184904, 42.29318858"
slitA001_SDSSJ112627.98+422407.7t100621.fits,"171.61658561, 42.40216199"
slitA094_SDSSJ112736.51+423106.4t100714.fits,"171.90212625, 42.51845537"
slitB010_SDSSJ112651.82+421655.5t100725.fits,"171.71592351, 42.28209209"
slitA095_SDSSJ112744.31+422809.1t100715.fits,"171.93465834, 42.4692188"
slitA080_SDSSJ112731.00+422833.7t100700.fits,"171.87919684, 42.47605322"
slitB046_SDSSJ112732.83+421527.6t100761.fits,"171.88680172, 42.25767309"
slitB074_SDSSJ112806.40+421728.0t100789.fits,"172.02667742, 42.29111748"
slitB006_SDSSJ112650.36+421602.2t100721.fits,"171.70986657, 42.26729778"
slitB031_SDSSJ112712.15+421817.2t100746.fits,"171.80064379, 42.30478905"
slitA054_SDSSJ112707.51+422948.5t100674.fits,"171.78130937, 42.49682548"
slitA092_SDSSJ112742.14+422751.5t100712.fits,"171.9255943, 42.46430638"
slitB069_SDSSJ112742.99+422346.1t100784.fits,"171.92914201, 42.396166"
slitB050_SDSSJ112727.15+422019.9t100765.fits,"171.86315815, 42.33888743"
slitB053_SDSSJ112734.16+421817.3t100768.fits,"171.8923532, 42.30482329"
slitB021_SDSSJ112656.95+421929.5t100736.fits,"171.73733036, 42.32487365"
slitA018_SDSSJ112642.14+422631.8t100638.fits,"171.67560323, 42.4421937"
slitB040_SDSSJ112729.42+421438.3t100755.fits,"171.87262317, 42.24398134"
slitB038_SDSSJ112714.52+421954.6t100753.fits,"171.81050394, 42.33185526"
slitA079_110589t100699.fits,"171.850884, 42.521421"
slitA063_13.0t100683.fits,"171.832697, 42.4558183"
slitA006_SDSSJ112637.96+422302.4t100626.fits,"171.65819347, 42.38402578"
