slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
113,1172,SDSSJ112627.98+422407.7,171.61658561,42.40216199,0,0,20.2573299407959,5,2000,TARGET,4320.13787932275,9710.97196914313,A
114,1173,SDSSJ112630.96+422330.2,171.62902817,42.39173095,0,0,20.443340301513672,5,2000,TARGET,4555.560762644358,9946.509150800628,A
117,1176,SDSSJ112632.88+422331.2,171.63701818,42.39201407,0,0,20.595060348510742,5,2000,TARGET,4591.074666225407,9982.040906644765,A
115,1174,SDSSJ112630.95+422435.0,171.62898044,42.40973619,0,0,20.450979232788086,5,2000,TARGET,4257.035854142892,9647.840912133972,A
224,3129,SDSSJ112622.69+422828.4,171.59457388,42.47457571,0,0,18.36467933654785,5,2000,TARGET,3007.987124106785,8398.189050504187,A
121,1180,SDSSJ112637.96+422302.4,171.65819347,42.38402578,0,0,19.09922981262207,5,2000,TARGET,4830.042273908903,10221.125261195659,A
112,1149,SDSSJ112637.49+422355.1,171.65621183,42.39864633,0,0,20.293659210205078,5,2000,TARGET,4578.108019241593,9969.06977659805,A
111,1148,SDSSJ112631.99+422649.6,171.63333015,42.44712845,0,0,19.682470321655273,5,2000,TARGET,3659.6786234518013,9050.197073020254,A
110,1142,SDSSJ112633.76+422630.3,171.64069199,42.4417652,0,0,19.40382957458496,5,2000,TARGET,3785.8540905808195,9176.43378017322,A
125,1185,SDSSJ112640.99+422339.9,171.67079219,42.39442571,0,0,20.342079162597656,5,2000,TARGET,4721.676518489878,10112.708458169316,A
231,3142,SDSSJ112638.46+422501.8,171.66028833,42.4171826,0,0,20.156269073486328,5,2000,TARGET,4292.085839594929,9682.910426517863,A
235,3146,SDSSJ112643.49+422339.4,171.68122768,42.39428059,0,0,20.102279663085938,5,2000,TARGET,4776.947565100051,10168.00685077749,A
233,3144,SDSSJ112639.58+422537.8,171.66492223,42.42717901,0,0,19.67095947265625,5,2000,TARGET,4150.270023433905,9541.02673852068,A
236,3147,SDSSJ112643.04+422437.3,171.6793453,42.41038413,0,0,20.52787971496582,5,2000,TARGET,4501.227559573646,9892.154081885552,A
228,3137,SDSSJ112632.46+422927.2,171.63525938,42.49088978,0,0,20.232389450073242,5,2000,TARGET,2944.4546505765516,8334.62927529215,A
237,3148,SDSSJ112638.06+422735.1,171.6586027,42.45975806,0,0,20.54793930053711,5,2000,TARGET,3579.1662054929793,8969.647726094881,A
241,3153,SDSSJ112643.25+422548.8,171.68022444,42.43023546,0,0,19.9107608795166,5,2000,TARGET,4177.605683736615,9568.376524639132,A
240,3152,SDSSJ112642.14+422631.8,171.67560323,42.4421937,0,0,20.340999603271484,5,2000,TARGET,3956.3822106731272,9347.046296901934,A
238,3149,SDSSJ112636.17+423008.4,171.65072027,42.5023454,0,0,19.780040740966797,5,2000,TARGET,2833.7561776327743,8223.878409016357,A
76,77,SDSSJ112647.99+422547.7,171.6999977,42.4299213,0,0,19.605239868164062,5,2000,TARGET,4283.69547168337,9674.518433285399,A
242,3154,SDSSJ112639.85+422950.4,171.66605472,42.49736026,0,0,19.576810836791992,5,2000,TARGET,2994.989834379126,8385.19045224524,A
59,60,SDSSJ112645.42+422756.1,171.68927283,42.46560959,0,0,20.39413070678711,5,2000,TARGET,3639.2443221922827,9029.756333626869,A
